,Board,Tech,Subject,Grade,Week,Day,Lesson Name,Total Clicks in a Month,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7
44,CBSE,Low Tech,EVS,G4,W1,D5,Revision,5330,36,64,73,50,34,91,57
45,CBSE,Low Tech,Math,G4,W1,D1,Brick Patterns,5926,50,53,43,19,51,198,196
46,CBSE,Low Tech,Math,G4,W1,D2,Faces of Bricks,4619,39,83,94,79,71,71,65
47,CBSE,Low Tech,Math,G4,W1,D3,"Counting faces, edges and vertices of a brick",5610,48,10,63,33,32,52,75
48,CBSE,Low Tech,Math,G4,W1,D4,Brick making process.,5146,44,18,69,45,87,158,127
49,CBSE,Low Tech,Math,G4,W1,D5,Revise everything about bricks,5506,84,86,19,33,29,121,85
50,CBSE,Low Tech,English,G5,W1,D1,Ice Cream Man1,5369,60,94,76,65,76,100,114
51,CBSE,Low Tech,English,G5,W1,D2,Ice Cream Man2,4603,37,90,80,70,85,185,61
52,CBSE,Low Tech,English,G5,W1,D3,Ice Cream Man3,4913,88,52,50,43,23,143,116
53,CBSE,Low Tech,English,G5,W1,D4,Ice Cream Man4,5163,15,70,39,84,80,172,137
54,CBSE,Low Tech,English,G5,W1,D5,Ice Cream Man,5548,25,85,63,46,89,102,55
55,CBSE,Low Tech,EVS,G5,W1,D1,uses of the sense of smell.,5353,70,73,15,84,14,131,179
56,CBSE,Low Tech,EVS,G5,W1,D2,two types of vision,5398,39,41,53,99,55,95,101
57,CBSE,Low Tech,EVS,G5,W1,D3, how different animals hear,3926,85,99,64,58,25,42,123
58,CBSE,Low Tech,EVS,G5,W1,D4,how animals use sound to indicate danger,6038,68,13,28,54,74,88,68
59,CBSE,Low Tech,EVS,G5,W1,D5,Sleep time of animals on a 24 hour clock,5892,77,26,42,26,100,117,92
60,CBSE,Low Tech,Math,G5,W1,D1,Fish Tale,4635,53,13,67,55,60,147,58
61,CBSE,Low Tech,Math,G5,W1,D2,Fish Tale,5675,19,58,17,32,70,88,37
62,CBSE,Low Tech,Math,G5,W1,D3,Fish Tale,5803,87,99,54,70,84,141,108
63,CBSE,Low Tech,Math,G5,W1,D4,Read and Write Big numbers,4725,35,18,38,10,83,82,98
64,CBSE,Low Tech,Math,G5,W1,D5,Big Numbers Revision,5743,19,98,21,26,98,157,58
65,MH,Low Tech,English,G1,W1,D1,The Happy Song,5776,45,56,16,40,38,170,65
66,MH,Low Tech,English,G1,W1,D2,Nature,4195,95,13,76,32,37,197,127
67,MH,Low Tech,English,G1,W1,D3,Action Time,4368,19,56,92,57,15,168,106
68,MH,Low Tech,English,G1,W1,D4,Know Each Other,4443,15,59,39,42,63,80,191
69,MH,Low Tech,English,G1,W1,D5,Capital and Small letters,5332,12,28,33,19,65,128,168
70,MH,Low Tech,Math,G1,W1,D1,Big and Small,5110,11,58,12,27,79,55,94
71,MH,Low Tech,Math,G1,W1,D2,Behind and In front,5802,100,73,53,82,19,62,132
72,MH,Low Tech,Math,G1,W1,D3,Above Below,6560,52,71,94,89,64,188,179
73,MH,Low Tech,Math,G1,W1,D4,One Many,6394,80,58,70,38,80,157,188
74,MH,Low Tech,Math,G1,W1,D5,Earlier Later,6274,19,29,54,17,18,36,196
75,MH,Low Tech,English,G2,W1,D1,Bridge1,5777,66,57,96,53,15,175,63
76,MH,Low Tech,English,G2,W1,D2,Bridge2,5918,68,79,63,61,54,114,110
77,MH,Low Tech,English,G2,W1,D3,Bridge3,5484,56,70,39,45,79,86,142
78,MH,Low Tech,English,G2,W1,D4,Bridge4,5299,33,39,20,100,62,44,126
79,MH,Low Tech,English,G2,W1,D5,Let's Speak,5355,99,87,91,77,73,187,183
80,MH,Low Tech,Math,G2,W1,D1,Shapes of Fruits and Vegetables,5124,99,78,93,93,80,38,134
81,MH,Low Tech,Math,G2,W1,D2,Shapes of objects in our environment,6849,16,41,45,95,27,137,200
82,MH,Low Tech,Math,G2,W1,D3,Identify edges and corners of shapes,5269,77,60,11,30,72,42,136
83,MH,Low Tech,Math,G2,W1,D4,Surfaces of objects,5003,91,93,86,26,22,182,99
84,MH,Low Tech,Math,G2,W1,D5,Roll and slide,5858,83,67,60,35,36,176,135
85,MH,Low Tech,English,G3,W1,D1,A Pretty Game1,5323,67,16,70,80,62,77,43
86,MH,Low Tech,English,G3,W1,D2,A Pretty Game2,5877,10,19,60,68,54,134,48
87,MH,Low Tech,English,G3,W1,D3,Go and Come1,5858,47,38,62,14,37,90,59
88,MH,Low Tech,English,G3,W1,D4,Go and Come2,6592,72,60,63,52,75,162,176
89,MH,Low Tech,English,G3,W1,D5,Tenali Raman draws a picture,5194,64,95,26,68,73,158,70
90,MH,Low Tech,EVS,G3,W1,D1,our Enviornment,5664,85,19,44,27,12,184,159
91,MH,Low Tech,EVS,G3,W1,D2,living and non,4599,15,77,33,75,24,190,111
92,MH,Low Tech,EVS,G3,W1,D3,"characterstics of living beings
",5896,72,79,36,48,42,175,90
93,MH,Low Tech,EVS,G3,W1,D4,interdependence of living and non,4973,96,27,13,72,18,44,51
94,MH,Low Tech,EVS,G3,W1,D5,Revision,5884,41,79,15,64,54,106,38
95,MH,Low Tech,Math,G3,W1,D1,Identify Shapes,6450,21,77,52,21,83,42,130
96,MH,Low Tech,Math,G3,W1,D2,Corners and Edges,5437,60,14,38,96,88,101,173
97,MH,Low Tech,Math,G3,W1,D3,Practice counting corners and edges.,5751,35,72,53,13,49,66,54
98,MH,Low Tech,Math,G3,W1,D4,Making a tangram,6214,64,91,72,11,93,151,43
99,MH,Low Tech,Math,G3,W1,D5,Draw shapes on dotted paper,6173,13,94,79,27,96,104,138
100,MH,Low Tech,English,G4,W1,D1,Rain in the Night,6671,64,49,80,40,99,115,146
101,MH,Low Tech,English,G4,W1,D2,The Stag at the Pool,5726,23,91,81,51,50,147,176
102,MH,Low Tech,English,G4,W1,D3,The Dog and the Manger,4141,35,44,93,69,43,116,59
103,MH,Low Tech,English,G4,W1,D4,Aesops Fables ,5343,35,29,78,88,31,193,107
104,MH,Low Tech,English,G4,W1,D5,Early Bird Proverb,4616,41,55,38,88,58,110,190
105,MH,Low Tech,EVS,G4,W1,D1,Animals and their babies,6585,21,29,84,15,88,43,134
106,MH,Low Tech,EVS,G4,W1,D2,Life cycle of a chicken,6422,68,35,41,60,14,65,159
107,MH,Low Tech,EVS,G4,W1,D3, life cycle of a butterfly,6170,12,35,26,62,78,140,57
108,MH,Low Tech,EVS,G4,W1,D4,Plain Tiger butterfly ,5368,65,36,81,78,19,155,173
109,MH,Low Tech,EVS,G4,W1,D5,Revision,5712,94,62,52,35,78,54,160
110,MH,Low Tech,Math,G4,W1,D1,Understanding Angles,4783,49,67,80,90,89,108,84
111,MH,Low Tech,Math,G4,W1,D2,Identify Types of Angles,5370,92,56,30,41,19,130,100
112,MH,Low Tech,Math,G4,W1,D3,Making angles and shapes,4818,24,65,86,17,55,125,65
113,MH,Low Tech,Math,G4,W1,D4,Drawing circles,6144,10,68,63,98,78,146,161
114,MH,Low Tech,Math,G4,W1,D5,Parts of a circle.,5498,29,93,73,27,78,56,74
115,MH,Low Tech,English,G5,W1,D1,What a bird thought1,4586,11,33,85,54,10,54,66
116,MH,Low Tech,English,G5,W1,D2,What a bird thought2,5345,62,38,36,61,47,187,106
117,MH,Low Tech,English,G5,W1,D3,Daydreams1,5695,42,50,74,60,12,136,168
118,MH,Low Tech,English,G5,W1,D4,Daydreams2,6355,11,55,99,45,70,156,96
119,MH,Low Tech,English,G5,W1,D5,"Use of ""a"" and ""an""",5159,67,100,49,38,64,153,194
120,MH,Low Tech,EVS,G5,W1,D1,stars and planets,5870,10,74,17,84,14,171,83
121,MH,Low Tech,EVS,G5,W1,D2,planets in our solar system.,6091,18,49,19,36,28,167,33
122,MH,Low Tech,EVS,G5,W1,D3,satellites and  asteroids,5678,91,37,46,26,49,167,53
123,MH,Low Tech,EVS,G5,W1,D4,force of gravity,4590,67,85,60,59,89,45,108
124,MH,Low Tech,EVS,G5,W1,D5,Phases of moon,6138,64,28,64,80,40,198,189
125,MH,Low Tech,Math,G5,W1,D1,Rules of Roman Numerals,4847,52,40,20,52,19,30,37
126,MH,Low Tech,Math,G5,W1,D2,Read and Write 1,5580,46,36,32,90,18,165,174
127,MH,Low Tech,Math,G5,W1,D3,Convert Roman Numerals to international numerals,5937,88,48,71,31,38,191,139
128,MH,Low Tech,Math,G5,W1,D4,Convert Internation numerals to Roman Numerals,7084,20,14,44,80,21,122,129
129,MH,Low Tech,Math,G5,W1,D5,Revise Roman Numerals,5761,80,95,12,96,66,87,177
130,TS,Low Tech,English,G1,W1,D1,Ammu and her family  ,5690,67,86,97,23,69,101,165
131,TS,Low Tech,English,G1,W1,D2,Finger Family ,4091,31,64,75,100,99,38,173
132,TS,Low Tech,English,G1,W1,D3,Family Song ,4443,19,59,22,79,76,85,54
133,TS,Low Tech,English,G1,W1,D4,School Song,4297,43,11,65,51,82,99,52
134,TS,Low Tech,English,G1,W1,D5,"Letters a,b,c,d",4674,62,50,61,57,60,49,62
135,TS,Low Tech,Math,G1,W1,D1,More and Less,4933,35,84,56,41,15,192,159
136,TS,Low Tech,Math,G1,W1,D2,"Over/Under, Above/Below",5680,15,61,54,79,26,153,165
137,TS,Low Tech,Math,G1,W1,D3,Inside and Outside,5978,15,51,94,87,23,191,72
138,TS,Low Tech,Math,G1,W1,D4,"Big/Small, Fat/Thin",4931,61,91,12,91,87,176,103
139,TS,Low Tech,Math,G1,W1,D5,Deep and Shallow ,6490,44,44,37,30,96,124,144
140,TS,Low Tech,English,G2,W1,D1,Ramu goes to the Zoo ,5156,83,56,21,59,79,115,144
141,TS,Low Tech,English,G2,W1,D2,Ramu  goes to the Zoo ,6468,46,33,71,30,86,150,178
142,TS,Low Tech,English,G2,W1,D3,Ramu  goes to the Zoo ,5720,85,13,88,92,10,110,81
143,TS,Low Tech,English,G2,W1,D4,Dancing Time,5961,42,22,33,89,47,114,42
144,TS,Low Tech,English,G2,W1,D5,A,5192,52,89,40,64,15,36,111
145,TS,Low Tech,Math,G2,W1,D1,Count and Write Numbers 1,5851,92,78,74,80,28,105,33
146,TS,Low Tech,Math,G2,W1,D2,Ordinal Numbers,5307,80,16,13,99,86,52,173
147,TS,Low Tech,Math,G2,W1,D3,"Before, after and between",6440,32,47,40,94,33,74,169
148,TS,Low Tech,Math,G2,W1,D4,Biggest and smallest numbers,5765,81,15,57,50,26,134,181
149,TS,Low Tech,Math,G2,W1,D5,Asceding and Descending order,5908,42,53,70,29,25,173,56
150,TS,Low Tech,English,G3,W1,D1,Talking Train ,5037,33,92,58,50,17,35,55
151,TS,Low Tech,English,G3,W1,D2,Wheels on the train ,5853,82,64,57,88,42,182,35
152,TS,Low Tech,English,G3,W1,D3,Choo Choo train ,5614,98,24,51,49,84,70,95
153,TS,Low Tech,English,G3,W1,D4,Modes of transport ,5053,10,29,18,23,81,44,49
154,TS,Low Tech,English,G3,W1,D5,Vehicles I like ,4284,65,94,63,91,55,176,126
155,TS,Low Tech,EVS,G3,W1,D1,a family tree,5267,10,82,72,96,32,39,87
156,TS,Low Tech,EVS,G3,W1,D2,qualities of family members.,4470,58,24,52,99,32,181,65
157,TS,Low Tech,EVS,G3,W1,D3,Types of family,5381,58,52,76,11,29,62,114
158,TS,Low Tech,EVS,G3,W1,D4,Children with special needs,5869,71,73,92,77,92,35,33
159,TS,Low Tech,EVS,G3,W1,D5,Revision ,4820,56,12,40,31,48,176,118
160,TS,Low Tech,Math,G3,W1,D1,"Top, Front and Side Views",5895,83,78,58,62,21,44,180
161,TS,Low Tech,Math,G3,W1,D2,Tracing shapes of Objects,5497,45,85,37,76,55,92,100
162,TS,Low Tech,Math,G3,W1,D3,Understand what is a net of a solid object,5337,25,17,94,19,58,141,122
163,TS,Low Tech,Math,G3,W1,D4,Draw net of solid shapes,5797,13,83,59,12,71,57,46
164,TS,Low Tech,Math,G3,W1,D5,Count shapes used in a pattern,5526,27,70,20,55,12,139,192
165,TS,Low Tech,English,G4,W1,D1,Story of Eklavya ,5956,45,53,29,43,35,87,137
166,TS,Low Tech,English,G4,W1,D2,Story of Eklavya ,6020,45,58,41,78,75,87,95
167,TS,Low Tech,English,G4,W1,D3,School is Fun ,5593,51,14,63,58,26,54,121
168,TS,Low Tech,English,G4,W1,D4,Grammar ,6381,62,29,19,96,96,123,144
169,TS,Low Tech,English,G4,W1,D5,Grammar ,5369,12,89,79,16,73,66,132
170,TS,Low Tech,EVS,G4,W1,D1,changes in the family due to birth of a new baby,4377,34,18,35,72,14,137,147
171,TS,Low Tech,EVS,G4,W1,D2,Changes in the family due to transfer of a family,5009,45,38,35,96,13,116,86
172,TS,Low Tech,EVS,G4,W1,D3,changes in the family due to a wedding,6279,51,24,26,58,85,117,101
173,TS,Low Tech,EVS,G4,W1,D4,changes in the family in last ten years,5674,81,27,28,70,63,88,53
174,TS,Low Tech,EVS,G4,W1,D5,Revision,5591,20,63,73,15,34,166,160
175,TS,Low Tech,Math,G4,W1,D1,Shapes of objects around us,5422,48,74,76,23,65,90,197
176,TS,Low Tech,Math,G4,W1,D2,Objects that Roll and Slide,5171,91,98,90,31,24,101,196
177,TS,Low Tech,Math,G4,W1,D3,Edges and corners of 3D Shapes,4634,34,87,74,64,71,77,43
178,TS,Low Tech,Math,G4,W1,D4,Count number of faces of a box,5234,38,85,34,100,68,76,198
179,TS,Low Tech,Math,G4,W1,D5,Draw net of a box,5332,91,89,70,41,91,31,80
180,TS,Low Tech,English,G5,W1,D1,Let's be friends ,5422,87,80,94,38,40,138,183
181,TS,Low Tech,English,G5,W1,D2,Articles ,6016,56,86,95,93,13,159,131
182,TS,Low Tech,English,G5,W1,D3,Articles ,6002,73,74,94,68,79,195,109
183,TS,Low Tech,English,G5,W1,D4,Adverbs ,4399,86,39,68,72,54,130,114
184,TS,Low Tech,English,G5,W1,D5,Adverbs Revision ,4572,93,68,68,19,50,78,86
185,TS,Low Tech,EVS,G5,W1,D1,animals which help us earning a livelihood.,5523,20,99,83,62,80,158,145
186,TS,Low Tech,EVS,G5,W1,D2, daily activities of a shepherd,5919,26,36,69,31,28,99,53
187,TS,Low Tech,EVS,G5,W1,D3,Farmer's Friends,5396,86,70,55,48,61,121,51
188,TS,Low Tech,EVS,G5,W1,D4,endangered species,5253,47,100,98,91,32,99,95
189,TS,Low Tech,EVS,G5,W1,D5,Revision,5458,30,46,14,96,51,143,163
190,TS,Low Tech,Math,G5,W1,D1,Estimate Sum of Big numbers,5648,91,98,43,72,80,81,95
191,TS,Low Tech,Math,G5,W1,D2,Count in 100s,5753,31,72,28,92,78,134,112
192,TS,Low Tech,Math,G5,W1,D3,Understand 100 Number Table,4001,74,17,48,98,31,87,182
193,TS,Low Tech,Math,G5,W1,D4,Expanding numbers,5805,26,61,25,69,59,93,80
194,TS,Low Tech,Math,G5,W1,D5,Revise Expanding Numbers,5494,89,24,10,13,39,70,30
195,KA,Low Tech,English,G1,W1,D1,Health is Happiness ,5836,47,12,21,49,12,53,141
196,KA,Low Tech,English,G1,W1,D2,Action words ,6746,70,70,65,30,33,116,174
197,KA,Low Tech,English,G1,W1,D3,Activities in the day ,5252,100,13,47,69,64,113,130
198,KA,Low Tech,English,G1,W1,D4,Healthy foods ,5451,35,73,50,70,80,179,48
199,KA,Low Tech,English,G1,W1,D5,Healthy foods ,5668,12,53,34,63,22,114,96
200,KA,Low Tech,EVS,G1,W1,D1,"""Animals that live on trees, water and land.

""",4927,15,84,23,56,71,88,69
201,KA,Low Tech,EVS,G1,W1,D2,animal song.,5939,36,45,99,17,100,157,144
202,KA,Low Tech,EVS,G1,W1,D3,Draw and colour pictures of animals,5693,82,70,74,52,55,99,147
203,KA,Low Tech,EVS,G1,W1,D4,movement of animals.,5507,52,49,38,66,23,108,48
204,KA,Low Tech,EVS,G1,W1,D5,Revision,5957,40,66,58,23,28,161,62
205,KA,Low Tech,Math,G1,W1,D1,Top and Bottom,4605,84,63,65,30,73,42,79
206,KA,Low Tech,Math,G1,W1,D2,Inside and Outside,5953,98,30,12,69,80,130,33
207,KA,Low Tech,Math,G1,W1,D3,"Above/Below, Over/Under",5674,26,97,57,17,57,44,153
208,KA,Low Tech,Math,G1,W1,D4,Near and Far,4926,67,52,12,63,26,43,116
209,KA,Low Tech,Math,G1,W1,D5,Before and After,5225,53,94,64,39,25,101,198
210,KA,Low Tech,English,G2,W1,D1,My sister and me ,4717,50,48,30,15,47,160,49
211,KA,Low Tech,English,G2,W1,D2,Action words ,6204,81,90,76,24,98,187,194
212,KA,Low Tech,English,G2,W1,D3,Raksha Bandhan ,5467,35,71,30,98,68,179,187
213,KA,Low Tech,English,G2,W1,D4,Grammar: use of 'Between',5738,15,35,17,94,90,45,67
214,KA,Low Tech,English,G2,W1,D5,Plural nouns ,6197,80,71,13,39,69,192,155
215,KA,Low Tech,EVS,G2,W1,D1,various birds in your surroundings.,5779,16,15,47,42,61,145,171
216,KA,Low Tech,EVS,G2,W1,D2,different insects in our surroundings,5692,91,43,40,45,75,192,176
217,KA,Low Tech,EVS,G2,W1,D3,animals based upon their movements,5037,38,16,22,37,62,108,190
218,KA,Low Tech,EVS,G2,W1,D4,Draw and colour pictures of animals,4343,30,12,60,90,15,35,122
219,KA,Low Tech,EVS,G2,W1,D5,Revision,6454,35,70,80,99,49,139,197
220,KA,Low Tech,Math,G2,W1,D1,Straight Lines,5856,87,56,91,51,88,160,50
221,KA,Low Tech,Math,G2,W1,D2,"Horizontal, Vertical and Slanting Lines",4685,43,90,27,32,92,174,85
222,KA,Low Tech,Math,G2,W1,D3,Straight and curved lines,5328,15,93,83,32,61,169,100
223,KA,Low Tech,Math,G2,W1,D4,Objects that roll and slide,4203,19,90,58,97,59,34,94
224,KA,Low Tech,Math,G2,W1,D5,Revise Lines,5526,47,79,92,87,86,136,89
225,KA,Low Tech,English,G3,W1,D1,Sports ,5241,86,38,84,30,56,64,116
226,KA,Low Tech,English,G3,W1,D2,Jumbo of Indian Cricket ,5862,27,61,49,60,42,79,65
227,KA,Low Tech,English,G3,W1,D3,Different Sportspeople ,6564,90,89,17,33,22,135,50
228,KA,Low Tech,English,G3,W1,D4,Indoor and Outdoor games ,4803,53,53,100,94,97,54,74
229,KA,Low Tech,English,G3,W1,D5,Action words ,5241,34,79,38,99,28,37,63
230,KA,Low Tech,EVS,G3,W1,D1,different types of animals.,5523,90,66,14,47,30,125,32
231,KA,Low Tech,EVS,G3,W1,D2,"animals of various sizes. 
",5675,96,27,100,67,64,132,126
232,KA,Low Tech,EVS,G3,W1,D3,herbivores and carnivorous animals,4477,98,75,16,60,27,81,41
233,KA,Low Tech,EVS,G3,W1,D4,birds and their characterstics ,5165,93,46,21,96,60,79,93
234,KA,Low Tech,EVS,G3,W1,D5,Revision,5157,68,62,65,63,83,165,72
235,KA,Low Tech,Math,G3,W1,D1,Identify Shapes,6332,29,83,71,96,38,121,47
236,KA,Low Tech,Math,G3,W1,D2,Sides and Corners,5343,69,32,68,95,99,46,44
237,KA,Low Tech,Math,G3,W1,D3,Identify 2d and 3d shapes,5199,61,90,84,30,38,41,78
238,KA,Low Tech,Math,G3,W1,D4,Drawing 3d shapes,4545,98,84,66,54,89,174,102
239,KA,Low Tech,Math,G3,W1,D5,Cylinders,5942,77,99,57,30,19,34,78
240,KA,Low Tech,English,G4,W1,D1,I want to fly ,5908,16,57,97,12,92,123,78
241,KA,Low Tech,English,G4,W1,D2,The three butterflies ,4781,84,99,43,49,76,68,66
242,KA,Low Tech,English,G4,W1,D3,Types of flowers ,5967,49,12,80,65,70,193,141
243,KA,Low Tech,English,G4,W1,D4,Types of insects ,5785,58,50,59,85,56,149,166
244,KA,Low Tech,English,G4,W1,D5,Tense ,6120,77,15,73,85,82,146,114
245,KA,Low Tech,EVS,G4,W1,D1,similarities and differences between human beings and animals.,7034,51,97,95,66,61,98,57
246,KA,Low Tech,EVS,G4,W1,D2," characterstics (size, colour, food, habitat) of animals
",6187,35,85,66,68,88,32,153
247,KA,Low Tech,EVS,G4,W1,D3,Uses of animals,5137,74,68,55,99,60,139,111
248,KA,Low Tech,EVS,G4,W1,D4,Characteristics of animals ,4775,77,73,26,13,78,95,113
249,KA,Low Tech,EVS,G4,W1,D5,Revision,5659,13,75,10,38,70,121,189
250,KA,Low Tech,Math,G4,W1,D1,Understanding Perimeter,4606,96,78,87,10,81,185,86
251,KA,Low Tech,Math,G4,W1,D2,Calculating Perimeter,5656,59,52,74,51,78,80,159
252,KA,Low Tech,Math,G4,W1,D3,Understanding Area,5364,88,74,12,36,44,79,156
253,KA,Low Tech,Math,G4,W1,D4,Calclating Area. ,4687,58,89,49,91,73,193,183
254,KA,Low Tech,Math,G4,W1,D5,Revise Perimeter and Area,6323,16,69,32,50,82,190,49
255,KA,Low Tech,English,G5,W1,D1,Swami Vivekananda ,5627,38,22,60,31,69,138,79
256,KA,Low Tech,English,G5,W1,D2,Swami Vivekananda ,5964,39,90,12,64,32,173,96
257,KA,Low Tech,English,G5,W1,D3,Opposites ,6067,39,54,36,34,93,94,119
258,KA,Low Tech,English,G5,W1,D4,Kinds of sentences ,6302,43,83,55,98,93,69,181
259,KA,Low Tech,English,G5,W1,D5,Complete dialogues,5268,35,72,17,72,96,183,193
260,KA,Low Tech,EVS,G5,W1,D1,living and non,6091,15,11,41,25,52,119,47
261,KA,Low Tech,EVS,G5,W1,D2,"characterstics of living beings
",5861,62,29,68,80,60,192,75
262,KA,Low Tech,EVS,G5,W1,D3,Life cycle of a plant,4748,62,52,23,71,27,110,71
263,KA,Low Tech,EVS,G5,W1,D4,Protection of plants and animals,5318,67,56,77,81,37,85,190
264,KA,Low Tech,EVS,G5,W1,D5,Revision ,4798,61,96,88,60,84,41,53
265,KA,Low Tech,Math,G5,W1,D1,Place Value of 5,4740,34,54,45,29,55,134,71
266,KA,Low Tech,Math,G5,W1,D2,Read and Write 5,4223,79,62,18,94,73,70,51
267,KA,Low Tech,Math,G5,W1,D3,Expanding 5 digit numbers,4654,43,73,79,21,66,120,138
268,KA,Low Tech,Math,G5,W1,D4,Convert expanded form to standard form,5459,63,88,81,58,23,169,150
269,KA,Low Tech,Math,G5,W1,D5,Ascending and Descending order of 5 digit numbers,5386,82,70,35,80,79,149,175
270,CBSE,High Tech,English,G1,W1,D1,A Happy Child,4640,81,47,74,68,19,112,34
271,CBSE,High Tech,English,G1,W1,D2,Types of Houses,5727,94,15,83,84,66,199,162
272,CBSE,High Tech,English,G1,W1,D3,Feelings,6532,54,42,48,44,55,200,192
273,CBSE,High Tech,English,G1,W1,D4,Family,4562,37,77,72,54,75,32,34
274,CBSE,High Tech,English,G1,W1,D5,Animals and Babies,5118,46,73,26,16,53,116,85
275,CBSE,High Tech,Math,G1,W1,D1,Inside and Outside,5924,14,24,68,66,16,184,67
276,CBSE,High Tech,Math,G1,W1,D2,Big and Small,5049,28,14,41,17,29,159,198
277,CBSE,High Tech,Math,G1,W1,D3,Biggest Smallest,5392,28,47,30,73,15,186,43
278,CBSE,High Tech,Math,G1,W1,D4,Top and Bottom,5226,96,21,16,23,37,131,30
279,CBSE,High Tech,Math,G1,W1,D5,Revise Positions,5505,82,19,64,85,12,144,77
